"","YM","CATEGORY","ITEM_CNT","QTY","PRICE","MAXTEMP","SALEDAY","RAIN_DAY","HOLIDAY"
"41",201205,"건강음료",42,1662,10944,24,215673,2095,10
"42",201206,"건강음료",45,1518,10266,28,215525,8865,10
"43",201207,"건강음료",43,1554,10441,29,203590,25076,9
"44",201208,"건강음료",43,1501,10462,30,228142,32385,9
"45",201209,"건강음료",42,1912,10625,25,223581,23569,10
"46",201210,"건강음료",44,2045,10188,21,233331,11111,10
"47",201211,"건강음료",40,1907,11094,11,229144,4805,8
"48",201212,"건강음료",38,2141,11309,2,239129,3706,11
"49",201301,"건강음료",38,1828,11309,2,240416,2528,9
"50",201302,"건강음료",38,1605,11309,5,217015,6667,9
"51",201303,"건강음료",38,1780,11309,12,243648,4364,11
"52",201304,"건강음료",38,1649,11309,15,237340,6727,8
"53",201305,"건강음료",38,1670,11309,23,245068,17217,10
"54",201306,"건강음료",37,1427,11566,28,236180,7360,11
"55",201307,"건강음료",37,1333,11572,29,241687,41344,8
"56",201308,"건강음료",35,1467,12456,31,240142,22284,10
"57",201309,"건강음료",34,1583,11116,26,231662,13699,12
"58",201310,"건강음료",32,1996,11739,21,239981,3011,10
"59",201311,"건강음료",33,2000,11420,12,232854,2944,9
"60",201312,"건강음료",33,2039,11420,5,240458,202,10
"61",200901,"과즙음료",45,990,2611,4,126753,151,12
"62",200902,"과즙음료",45,1199,2689,9,113399,3014,8
"63",200903,"과즙음료",43,1102,2735,12,129162,1383,9
"64",200904,"과즙음료",42,1326,2807,19,126277,3564,8
"65",200905,"과즙음료",46,1672,2674,25,129584,9288,12
"66",200906,"과즙음료",48,1875,2777,27,123218,9998,8
"67",200907,"과즙음료",53,1663,2858,28,131083,17405,8
"68",200908,"과즙음료",52,1957,2886,29,130040,7704,10
"69",200909,"과즙음료",54,2021,2838,27,131989,4096,8
"70",200910,"과즙음료",56,1718,2879,22,136095,2824,10
"71",200911,"과즙음료",58,1204,2853,12,136152,3684,9
"72",200912,"과즙음료",57,1147,2694,5,137391,216,9
"73",201001,"과즙음료",55,1106,2746,2,141145,792,11
"74",201002,"과즙음료",55,1361,2752,7,128528,4384,9
"75",201003,"과즙음료",55,1432,2800,10,145771,2940,9
